Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RES0603-0001,Resistor,SMT-0603,0.00,1%,1/10W,Thick Film,Resistor 0.00 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06030000Z0EA,Digikey,541-0.0GCT-ND,Panasonic ,ERJ-3GEY0R00V,Digikey,P0.0GCT-ND,Stackpole Electronics,RMCF0603ZT0R00,Digikey,RMCF0603ZT0R00CT-ND
RES0603-0002,Resistor,SMT-0603,1.00,1%,1/10W,Thick Film,Resistor 1.00 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R00FKEA,Digikey,541-1.00HHCT-ND,Panasonic ,ERJ-3RQF1R0V,Digikey,P1.0AJCT-ND,Stackpole Electronics,RMCF0603FT1R00,Digikey,RMCF0603FT1R00CT-ND
RES0603-0003,Resistor,SMT-0603,1.02,1%,1/10W,Thick Film,Resistor 1.02 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R02FKEA,Digikey,541-1.02HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R02,Digikey,RMCF0603FT1R02CT-ND
RES0603-0004,Resistor,SMT-0603,1.05,1%,1/10W,Thick Film,Resistor 1.05 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R05FKEA,Digikey,541-1.05HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R05,Digikey,RMCF0603FT1R05CT-ND
RES0603-0005,Resistor,SMT-0603,1.07,1%,1/10W,Thick Film,Resistor 1.07 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R07FKEA,Digikey,541-1.07HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R07,Digikey,RMCF0603FT1R07CT-ND
RES0603-0006,Resistor,SMT-0603,1.10,1%,1/10W,Thick Film,Resistor 1.10 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R10FKEA,Digikey,541-1.10HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R10,Digikey,RMCF0603FT1R10CT-ND
RES0603-0007,Resistor,SMT-0603,1.13,1%,1/10W,Thick Film,Resistor 1.13 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R13FKEA,Digikey,541-1.13HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R13,Digikey,RMCF0603FT1R13CT-ND
RES0603-0008,Resistor,SMT-0603,1.15,1%,1/10W,Thick Film,Resistor 1.15 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R15FKEA,Digikey,541-1.15HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R15,Digikey,RMCF0603FT1R15CT-ND
RES0603-0009,Resistor,SMT-0603,1.18,1%,1/10W,Thick Film,Resistor 1.18 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R18FKEA,Digikey,541-1.18HHCT-ND,,,,,Stackpole Electronics,RMCF0603FT1R18,Digikey,RMCF0603FT1R18CT-ND
RES0603-0010,Resistor,SMT-0603,1.20,1%,1/10W,Thick Film,Resistor 1.20 1% 1/10W SMT-0603,Resistor,..\Schematic\Symbols.SchLib,0603,..\PCB\footprints.PcbLib,Vishay Dale,CRCW06031R20FKEA,Digikey,541-1.20HHCT-ND,Panasonic ,ERJ-3RQF1R2V,Digikey,P1.2AJCT-ND,Stackpole Electronics,RMCF0603FT1R20,Digikey,RMCF0603FT1R20CT-ND
