Local Part Number,Component Type,Package,Value,Tolerance,Power,Composition,Description,Library Ref,Library Path,Footprint Ref 1,Footprint Path 1,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Supplier 2,Supplier Part Number 2,Manufacturer 3,Manufacturer Part Number 3,Supplier 3,Supplier Part Number 3
RESMTFL-0001,Precision Resistor,PTH-2.35x6.35mm,1.00,1%,1/4W,Metal Film,Precision Resistor 1.00 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R00,Digi-Key,RNF14FTD1R00CT-ND,Yageo,MFR-25FRF52-1R00,Digi-Key,1.00XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R00,Digi-Key,
RESMTFL-0002,Precision Resistor,PTH-2.35x6.35mm,1.02,1%,1/4W,Metal Film,Precision Resistor 1.02 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R02,Digi-Key,RNF14FTD1R02CT-ND,Yageo,MFR-25FRF52-1R02,Digi-Key,1.02XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R02,Digi-Key,
RESMTFL-0003,Precision Resistor,PTH-2.35x6.35mm,1.05,1%,1/4W,Metal Film,Precision Resistor 1.05 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R05,Digi-Key,RNF14FTD1R05CT-ND,Yageo,MFR-25FRF52-1R05,Digi-Key,1.05XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R05,Digi-Key,
RESMTFL-0004,Precision Resistor,PTH-2.35x6.35mm,1.07,1%,1/4W,Metal Film,Precision Resistor 1.07 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R07,Digi-Key,RNF14FTD1R07CT-ND,Yageo,MFR-25FRF52-1R07,Digi-Key,1.07XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R07,Digi-Key,
RESMTFL-0005,Precision Resistor,PTH-2.35x6.35mm,1.10,1%,1/4W,Metal Film,Precision Resistor 1.10 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R10,Digi-Key,RNF14FTD1R10CT-ND,Yageo,MFR-25FRF52-1R10,Digi-Key,1.10XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R10,Digi-Key,
RESMTFL-0006,Precision Resistor,PTH-2.35x6.35mm,1.13,1%,1/4W,Metal Film,Precision Resistor 1.13 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R13,Digi-Key,RNF14FTD1R13CT-ND,Yageo,MFR-25FRF52-1R13,Digi-Key,1.13XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R13,Digi-Key,
RESMTFL-0007,Precision Resistor,PTH-2.35x6.35mm,1.15,1%,1/4W,Metal Film,Precision Resistor 1.15 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R15,Digi-Key,RNF14FTD1R15CT-ND,Yageo,MFR-25FRF52-1R15,Digi-Key,1.15XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R15,Digi-Key,
RESMTFL-0008,Precision Resistor,PTH-2.35x6.35mm,1.18,1%,1/4W,Metal Film,Precision Resistor 1.18 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R18,Digi-Key,RNF14FTD1R18CT-ND,Yageo,MFR-25FRF52-1R18,Digi-Key,1.18XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R18,Digi-Key,
RESMTFL-0009,Precision Resistor,PTH-2.35x6.35mm,1.21,1%,1/4W,Metal Film,Precision Resistor 1.21 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R21,Digi-Key,RNF14FTD1R21CT-ND,Yageo,MFR-25FRF52-1R21,Digi-Key,1.21XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R21,Digi-Key,
RESMTFL-0010,Precision Resistor,PTH-2.35x6.35mm,1.24,1%,1/4W,Metal Film,Precision Resistor 1.24 1% 1/4W,Resistor,..\Schematic\Symbols.SchLib,0207/10,..\PCB\footprints.PcbLib,0207/12,..\PCB\footprints.PcbLib,0207/2V,..\PCB\footprints.PcbLib,Stackpole Electronics Inc.,RNF14FTD1R24,Digi-Key,RNF14FTD1R24CT-ND,Yageo,MFR-25FRF52-1R24,Digi-Key,1.24XBK-ND,Stackpole Electronics Inc.,RNMF14FTC1R24,Digi-Key,
